,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Kostnad
Dag,Ons 5:e,Tors 6:e,Fre 7:e,Lör 8:e,Sön 9:e,Mån 10:e,Tis 11:e,Ons 12:e,Tors 13:e,
Var vaknar vi,Kode,Elgin,Elgin,Elgin,Elgin,Elgin,Glasgow,Edinburgh,Edinburgh,
Var sover vi,Elgin,Elgin,Elgin,Elgin,Elgin,Glasgow,Edinburgh,Edinburgh,Hemma,
Vad gör vi,"Flyga dit 10:40
Vilar",Vilar/utforskar närområdet,"Utforkar längre.
Klappa kor 12-13:30","Utforkar längre.
Golf / Whiskeyprovning","Eilean Donan, Loch Ness","Glenfinnan + Skyfall house
Bbq i Glamping pod","Kolla nått i Glasgow?
Annars Edin direkt","Utforska Edinburgh
Fin middag på kvällen.","Utforska
Edinburgh
Flyga hem 14:25
Hemma 19:00",
Pris/natt,1507,1507,1507,1507,1507,1618,1221,1221,,10088
Mat,800,800,800,800,800,800,800,800,800,6400
Bil + bränsle (ish),,,,,,,,,,10000
Golf,,,,,,,,,,1200
Flyg,,,,,,,,,,4000
Totalt,,,,,,,,,,31688
